StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
cel-seastone-01,Ethernet8,seastone-fanout,Ethernet8,100000,102,Access
cel-seastone-01,Ethernet44,seastone-fanout,Ethernet44,100000,111,Access
cel-seastone-01,Ethernet0,seastone-fanout,Ethernet0,100000,100,Access
cel-seastone-01,Ethernet4,seastone-fanout,Ethernet4,100000,101,Access
cel-seastone-01,Ethernet108,seastone-fanout,Ethernet108,100000,127,Access
cel-seastone-01,Ethernet88,seastone-fanout,Ethernet88,100000,122,Access
cel-seastone-01,Ethernet116,seastone-fanout,Ethernet116,100000,129,Access
cel-seastone-01,Ethernet100,seastone-fanout,Ethernet100,100000,125,Access
cel-seastone-01,Ethernet80,seastone-fanout,Ethernet80,100000,120,Access
cel-seastone-01,Ethernet112,seastone-fanout,Ethernet112,100000,128,Access
cel-seastone-01,Ethernet104,seastone-fanout,Ethernet104,100000,126,Access
cel-seastone-01,Ethernet84,seastone-fanout,Ethernet84,100000,121,Access
cel-seastone-01,Ethernet96,seastone-fanout,Ethernet96,100000,124,Access
cel-seastone-01,Ethernet92,seastone-fanout,Ethernet92,100000,123,Access
cel-seastone-01,Ethernet120,seastone-fanout,Ethernet120,100000,130,Access
cel-seastone-01,Ethernet52,seastone-fanout,Ethernet52,100000,113,Access
cel-seastone-01,Ethernet48,seastone-fanout,Ethernet48,100000,112,Access
cel-seastone-01,Ethernet56,seastone-fanout,Ethernet56,100000,114,Access
cel-seastone-01,Ethernet40,seastone-fanout,Ethernet40,100000,110,Access
cel-seastone-01,Ethernet76,seastone-fanout,Ethernet76,100000,119,Access
cel-seastone-01,Ethernet28,seastone-fanout,Ethernet28,100000,107,Access
cel-seastone-01,Ethernet68,seastone-fanout,Ethernet68,100000,117,Access
cel-seastone-01,Ethernet72,seastone-fanout,Ethernet72,100000,118,Access
cel-seastone-01,Ethernet60,seastone-fanout,Ethernet60,100000,115,Access
cel-seastone-01,Ethernet64,seastone-fanout,Ethernet64,100000,116,Access
cel-seastone-01,Ethernet32,seastone-fanout,Ethernet32,100000,108,Access
cel-seastone-01,Ethernet20,seastone-fanout,Ethernet20,100000,105,Access
cel-seastone-01,Ethernet16,seastone-fanout,Ethernet16,100000,104,Access
cel-seastone-01,Ethernet36,seastone-fanout,Ethernet36,100000,109,Access
cel-seastone-01,Ethernet24,seastone-fanout,Ethernet24,100000,106,Access
cel-seastone-01,Ethernet12,seastone-fanout,Ethernet12,100000,103,Access
seastone-fanout,Ethernet124,str-acs-serv-02,enp175s0f0,40000,100-130,Trunk
